PM_PROPERTY_ID,PROPERTY_NAME,ADDRESS_OF_RECORD,POSTAL_CODE,LATITUDE,LONGITUDE
3412541,#NAME?,500 E ST SE,20003,38.88337543,-76.99924298
3916583,Cloisters,100 MICHIGAN AVENUE NE,,38.92691588,-77.00864846
3412548,New Endeavors by Women,0611 N ST NW,20001,38.9074793,-77.02056163
3679816,McCollough Paradise Gardens Apartments,1107 7TH ST NW,20001,38.90548482,-77.02065954
3365840,#NAME?,3246 P ST NW,20007,38.90802702,-77.06454013
3412500,Engine Company #9,1617 U ST NW,20009,38.91730426,-77.03752783
3412500,! Engine Company 9,1617 U ST NW,20009,38.91730426,-77.03752783
3412552,! Engine Company 10,1300 FLORIDA AV NE,20002,38.9015951,-76.98669648
4020144,McCollough Canaanland Apartments,1202 - 1216 6TH ST NW,20001,38.90702666,-77.02016462
3412548,New Endeavors by Women,0611 N ST NW,20001,38.9074793,-77.02056163
3374793,# Recorder of Deeds,0515 D ST NW,20001,38.89497119,-77.01953671
4060682,Blackburn Center (2A),2440 6TH ST NW,20059,38.92645893,-77.01852853
3505747,Atlantic Terrace Ltd.,4301 3RD ST,,38.82811675,-77.00260796
3412548,New Endeavors by Women,0611 N ST NW,20001,38.9074793,-77.02056163
4020144,McCollough Canaanland Apartments,1202 - 1216 6TH ST NW,20001,38.90702666,-77.02016462
4113163,Adams Cathedral,3201 WISCONSIN AV NW,20016,38.93272758,-77.07213757
